smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,round,closest_market_drug,closest_market_smiles,max_market_similarity
NC(=O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.019329146944694,0.0276907621142743,0.5253198346334697,401.26800000000014,3.2083000000000004,105.82,3,6,0.0,9.254298302147156,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.2727272727272727
C=CC(=N)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,8.964805533835408,0.0357561278774283,0.5781573306736103,308.3450000000001,2.40149,94.22,3,6,0.0,9.218128071294784,C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.19101123595505617
C=CC(=O)NOC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.911116980187145,0.0351372319390776,0.6463330005515724,309.32900000000006,1.95082,87.44,2,6,0.0,9.199146248523853,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.25
C=CC(=N)NC1=NNC=C2N=CN=C(Nc3cccc(C)c3)C21,8.982994931992154,0.0445295124650336,0.4965721421508749,307.36100000000005,1.97449,97.02,4,6,0.0,9.18675149060256,C=CC(=O)NC1=NNC=C2N=CN=C(Nc3cccc(C)c3)C21,3,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.19318181818181818
C=CC(=O)C(OC)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.900951658080276,0.0392711565725972,0.6324060950216026,399.2480000000001,3.973500000000003,77.0,1,6,0.0,9.17788354901848,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.379746835443038
C=COC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.963406676245887,0.0400357673861275,0.50874426616121,399.2480000000001,4.321100000000002,77.0,1,6,0.0,9.177743041940364,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.345679012345679
C=CC(=O)OC(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.922443139528408,0.0348498267608553,0.50874426616121,399.2480000000001,4.321100000000002,77.0,1,6,0.0,9.141965445848156,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.3625
CC(C(=O)C=CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.935632125479605,0.0443487814315199,0.4921019548555872,399.2480000000001,4.2752000000000026,88.0,2,6,0.0,9.13733432147588,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3116883116883117
C=CC(=O)OC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.833178658288473,0.0405675895570857,0.6721170843977406,294.314,2.4462200000000003,75.41,1,6,0.0,9.128669610930258,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.2235294117647059
C=CC(=O)NOC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,8.84179041813188,0.0366646361907312,0.6407322672510349,325.3280000000001,1.88242,96.67,2,7,0.0,9.125491915566666,C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.23863636363636365
C=CC(=N)OC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.830661846435424,0.0395082326380581,0.6489506690918921,293.33000000000004,2.896890000000001,82.19,2,6,0.0,9.115628948343312,C=CC(=N)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.19540229885057472
C=CC(=O)NOC1=NNC=C2N=CN=C(Nc3cccc(C)c3)C21,8.855275844735269,0.0387284609482805,0.5662144085480221,324.3440000000001,1.4554199999999995,99.47,3,7,0.0,9.099654588060998,C=CC(=O)NC1=NNC=C2N=CN=C(Nc3cccc(C)c3)C21,3,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.2413793103448276
NC(CO)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.857639269113651,0.017348634966648,0.5121222681157751,389.25700000000006,2.2623999999999995,108.98,4,7,0.0,9.09635176820489,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3026315789473684
C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(OC)c3)C21,8.72597972937778,0.0506839029382089,0.8333853565528977,309.32900000000006,1.7194,87.44000000000001,2,6,0.0,9.09198850471602,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.3125
NCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.843192718929739,0.0176971589119895,0.5121222681157751,389.25700000000006,2.2623999999999995,108.98,4,7,0.0,9.081556694075635,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3026315789473684
NC(=O)OCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.824916935451403,0.010522858094875,0.5047570330547209,417.2670000000001,3.428200000000001,115.05,3,7,0.0,9.066772593883888,NC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.38666666666666666
C=CC(=N)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.81232711905983,0.0598348796102434,0.6195224659014356,382.265,4.840170000000003,74.55000000000001,2,5,0.0,9.062253472400306,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3333333333333333
C=CC(=O)OC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,8.763560159120829,0.0376789220595505,0.6711088464023605,310.31300000000005,2.37782,84.64,1,7,0.0,9.06143566026246,C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.21348314606741572
OCOC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.860315930805235,0.0241469061925538,0.4422543456553052,406.24000000000007,2.227599999999999,112.42,4,8,0.0,9.057296197440332,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.2948717948717949
CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.75885796657099,0.0245255975981957,0.635645280762051,374.2420000000001,3.3236000000000008,82.96,3,6,0.0,9.05215500935382,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3108108108108108
C=CC(=O)OC1=NNC=C2N=CN=C(Nc3cccc(C)c3)C21,8.774174876957078,0.0478993885932525,0.6454667618689273,309.32900000000006,1.95082,87.44,2,7,0.0,9.049008869298287,C=CC(=O)NC1=NNC=C2N=CN=C(Nc3cccc(C)c3)C21,3,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.2159090909090909
O=C(O)COCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.809369295544494,0.0325170730810769,0.4793010602615508,418.2510000000001,3.0440000000000005,109.26,3,7,0.0,9.016502752594192,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3918918918918919
C=CC(=N)NOC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.816148473334664,0.0454643954344825,0.4446469209132553,308.3450000000001,2.40149,94.22,3,6,0.0,8.993007538356808,C=CC(=N)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.19318181818181818
NC(=O)OCCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.75671131603346,0.0309290821236126,0.5047570330547209,417.2670000000001,3.428200000000001,115.05,3,7,0.0,8.978160750437207,NC(=O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,2,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.2911392405063291
C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(OC)c3)C21,8.600514367255979,0.0446370382769144,0.8258894276868768,325.3280000000001,1.651,96.67,2,7,0.0,8.968822042822504,C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.2976190476190476
O=C(O)COCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.75588173023745,0.0315408903770209,0.4793010602615508,418.25100000000015,3.0440000000000005,109.26,3,7,0.0,8.963991369991204,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.2948717948717949
NC(=O)COCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.73876886531071,0.0301781167120837,0.4824968055880063,417.2670000000001,2.4447,115.05,3,7,0.0,8.94983915139263,NC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3918918918918919
