smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed
OOCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.868621719956677,0.017772283374045378,0.35016842335728654,406.24000000000007,2.7933000000000003,112.42,4,8,0.0,9.025933648261274,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
O=C(O)COCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.809369295544494,0.032517073081076715,0.47930106026155084,418.2510000000001,3.0440000000000005,109.26,3,7,0.0,9.016502752594192,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
OCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.700434739116329,0.0147681210137733,0.6303772887856234,346.18800000000005,2.8926000000000007,82.96,3,6,0.0,9.000855262495367,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
O=C(O)OCCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.808830378886801,0.03409418579635323,0.3899410201394932,418.25100000000015,4.027500000000002,109.26,3,7,0.0,8.969706703160194,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12
C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(OC)c3)C21,8.590465403911567,0.045107853601024664,0.8377362636829558,308.34100000000007,2.2473,75.08,2,5,0.0,8.964225682152021,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21
O=C(O)COCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.75588173023745,0.03154089037702044,0.47930106026155084,418.25100000000015,3.0440000000000005,109.26,3,7,0.0,8.963991369991206,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12
OCC(O)COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.671498182542987,0.018298661789623704,0.5927599112347189,391.2250000000001,2.2628999999999992,100.39,3,7,0.0,8.949579476370722,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
C=CC(=O)Nc1nc2c(Cc3ccc(Cl)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,8.772067758531161,0.06450643926924729,0.4505534775423813,498.4140000000004,4.782400000000005,80.24000000000001,1,6,0.0,8.932838058033106,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1
O=C(C=CO)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,8.781086296786631,0.03195332293203218,0.35586280728304254,497.95800000000037,4.153800000000003,100.47,2,7,0.0,8.92706437749612,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1
OCOCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.72683581950509,0.027612714136175897,0.45008177640079633,376.21400000000006,2.8667000000000007,92.19,3,7,0.0,8.924263993569314,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
