smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,parent_predicted_pIC50,parent_QED,parent_final_score,delta_predicted_pIC50,delta_QED,delta_final_score
O=C(O)OCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.858563683642027,0.0157107626227064,0.3899410201394932,418.2510000000001,4.0275000000000025,109.26,3,7,0.0,9.037823431089066,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.347422264803685,0.5170252665618643,9.583455041718128,-0.4888585811616579,-0.1270842464223711,-0.5456316106290622
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCC1,9.332849736704796,0.0243688867017532,0.4721874075944484,465.9600000000003,5.031700000000003,71.01,1,5,0.5,9.044574553800269,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.049303289954101714,-0.011740119088585299,-0.5516185558859998
OOCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.868621719956677,0.0177722833740453,0.3501684233572865,406.24000000000007,2.7933000000000003,112.42,4,8,0.0,9.025933648261274,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.5122032504279255,9.58747202473561,-0.48995760677413713,-0.162034827070639,-0.5615383764743367
C=CC(=N)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.81232711905983,0.0598348796102432,0.6195224659014356,382.265,4.840170000000003,74.55000000000001,2,5,0.0,9.062253472400306,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.331955814487577,0.6622425832625197,9.62464397069617,-0.5196286954277465,-0.042720117361084164,-0.5623904982958638
O=C(O)COCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.809369295544494,0.0325170730810767,0.4793010602615508,418.2510000000001,3.0440000000000005,109.26,3,7,0.0,9.016502752594192,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.347422264803685,0.5170252665618643,9.583455041718128,-0.5380529692591907,-0.037724206300313534,-0.566952289123936
C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(OC)c3)C21,8.590465403911567,0.0451078536010246,0.8377362636829558,308.34100000000007,2.2473,75.08,2,5,0.0,8.964225682152021,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,9.148910562934578,0.8407986245812334,9.539862393436406,-0.5584451590230106,-0.003062360898277605,-0.5756367112843854
CN(CCN)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.604875312693071,0.046784803467042,0.7160204204136573,373.258,2.9258000000000006,79.96,2,6,0.0,8.916100719432857,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.187915453581798,0.7154897998540194,9.52460038627166,-0.5830401408887269,0.0005306205596379288,-0.608499666838803
O=C(O)OCCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.808830378886801,0.0340941857963532,0.3899410201394932,418.25100000000015,4.027500000000002,109.26,3,7,0.0,8.969706703160194,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.35150962487041,0.5170252665618642,9.598318997691685,-0.5426792459836083,-0.12708424642237098,-0.6286122945314911
O=C(O)COCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.75588173023745,0.0315408903770204,0.4793010602615508,418.25100000000015,3.0440000000000005,109.26,3,7,0.0,8.963991369991206,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.35150962487041,0.5170252665618642,9.598318997691685,-0.5956278946329601,-0.03772420630031342,-0.634327627700479
OCC(O)COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.671498182542987,0.0182986617896237,0.5927599112347189,391.2250000000001,2.2628999999999992,100.39,3,7,0.0,8.949579476370722,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.5122032504279255,9.58747202473561,-0.6870811441878271,0.08055666080679347,-0.6378925483648885
C=CC(=O)Nc1nc2c(Cc3ccc(Cl)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,8.772067758531161,0.0645064392692472,0.4505534775423813,498.4140000000004,4.782400000000005,80.24000000000001,1,6,0.0,8.932838058033106,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.6100852681277367,-0.033374049140652395,-0.6633550516531628
O=C(C=CO)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,8.781086296786631,0.0319533229320321,0.3558628072830425,497.9580000000004,4.153800000000003,100.47,2,7,0.0,8.92706437749612,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.601066729872267,-0.1280647193999912,-0.6691287321901491
OCOCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.677909787002948,0.0103791822492867,0.4500817764007963,376.2140000000001,2.8667,92.19,3,7,0.0,8.89257149295406,OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.3692884724959,0.6490621421214131,9.661624190949633,-0.6913786854929516,-0.19898036572061684,-0.7690526979955727
OCC(O)CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,8.571568161144171,0.0380866947155525,0.542629683867197,345.7900000000001,2.1869,103.19,4,7,0.0,8.804796308362217,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.5122032504279255,9.58747202473561,-0.7870111655866427,0.03042643343927154,-0.7826757163733937
OCC(O)OCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.59095639102209,0.0282949963364211,0.4422543456553051,406.2400000000001,2.227599999999999,112.42,4,8,0.0,8.783788567513321,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.5122032504279255,9.58747202473561,-0.7676229357087241,-0.06994890477262039,-0.8036834572222897
CN(C)C/C=C/C(=N)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,8.589951689264819,0.0473845404666905,0.4616137644926778,424.9110000000002,4.623470000000004,68.14,2,5,0.0,8.773374031044467,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.6214205553234822,9.58041020053087,-0.7245071172000195,-0.15980679083080435,-0.8070361694864037
C=COC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,8.591494950379039,0.0253043206913017,0.4454231570566717,497.9580000000004,4.835600000000005,89.47,1,7,0.0,8.788902208216074,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.7906580762798594,-0.038504369626362,-0.8072909014701946
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(F)c3)ncnc2cc1/C=C/CCN1CCOCC1,8.583147714405923,0.0651572627686648,0.5106541055933019,465.5040000000003,3.7538000000000022,80.24000000000001,1,6,0.0,8.77331750443391,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.7990053122529748,0.02672657891026825,-0.8228756052523583
OCOCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.72683581950509,0.0276127141361758,0.4500817764007963,376.21400000000006,2.8667000000000007,92.19,3,7,0.0,8.924263993569314,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.440956388733865,0.6490621421214131,9.7541731162893,-0.7141205692287738,-0.19898036572061684,-0.829909122719986
OCCNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,8.61253200972106,0.035665512428236,0.6713140375099609,315.76400000000007,2.8260000000000005,82.96,3,6,0.0,8.912523516047804,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.440956388733865,0.6490621421214131,9.7541731162893,-0.8284243790128052,0.02225189538854777,-0.8416496002414959
NCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.59981973899311,0.0181460263742759,0.6492450710868106,359.231,2.9015000000000004,88.75,3,6,0.0,8.906296248162239,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.45207561134018,0.6490621421214131,9.755787891088552,-0.8522558723470688,0.0001829289653975108,-0.8494916429263135
OOCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.667001012928177,0.0351791042451799,0.3448569354371107,376.2140000000001,3.432400000000001,92.19,3,7,0.0,8.804250376401551,OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.3692884724959,0.6490621421214131,9.661624190949633,-0.7022874595677226,-0.3042052066843024,-0.8573738145480814
