smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,parent_predicted_pIC50,parent_uncertainty,parent_QED,parent_final_score,delta_predicted_pIC50,delta_QED,delta_final_score
N=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,8.818385341437768,0.0286976142466744,0.4739695484760816,482.94700000000034,3.731670000000002,104.09,2,7,0.0,9.026672501429134,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.0279236803141482,0.4839275266830337,9.596193109686268,-0.56376768522113,-0.0099579782069521,-0.5695206082571342
C=CC(=O)Nc1nc2c(Cc3ccc(Cl)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,8.772067758531163,0.0645064392692478,0.4505534775423813,498.4140000000004,4.782400000000005,80.24000000000001,1,6,0.0,8.932838058033106,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.0279236803141482,0.4839275266830337,9.596193109686268,-0.6100852681277349,-0.033374049140652395,-0.6633550516531628
CC(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.542502120618703,0.0373749155412996,0.7070755843039886,373.254,4.016800000000003,70.93,2,5,0.0,8.858664997229399,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.187915453581798,0.0210599672371468,0.7154897998540194,9.52460038627166,-0.6454133329630949,-0.008414215550030746,-0.6659353890422608
ONC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.763090089496608,0.0275788333243058,0.3211210432358454,391.229,2.2399999999999998,115.22,5,8,0.0,8.896071777790224,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.0272089272091656,0.5122032504279255,9.58747202473561,-0.5954892372342062,-0.19108220719208008,-0.6914002469453866
CC1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.243270409684886,0.025934088026158,0.5208528678333952,468.39900000000017,5.196400000000004,70.15,2,5,0.5,8.977762755575425,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.408758181162073,0.0170345657177272,0.5737333346179045,9.678590282753298,-0.16548777147718674,-0.052880466784509306,-0.7008275271778732
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1Cl,9.245273859951793,0.034833017145038,0.2625362886851108,516.4040000000003,4.833000000000004,80.24000000000001,1,6,0.5,8.84170898714931,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.0279236803141482,0.4839275266830337,9.596193109686268,-0.13687916670710543,-0.22139123799792287,-0.7544841225369581
O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(F)c4F)c3c2)nn1)NO,8.744756781142682,0.0343713491782738,0.1800993457769073,467.4800000000001,4.366000000000002,117.85,3,7,0.0,8.80043510485286,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,9.52034512371626,0.0212573920710242,0.1669812919703811,9.582578377630426,-0.7755883425735774,0.013118053806526198,-0.7821432727775655
OCC(O)CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,8.571568161144173,0.0380866947155541,0.542629683867197,345.7900000000001,2.1869,103.19,4,7,0.0,8.804796308362217,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.0272089272091656,0.5122032504279255,9.58747202473561,-0.787011165586641,0.03042643343927154,-0.7826757163733937
O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(F)c4F)c3c2)nn1)NO,8.744756781142684,0.0343713491782725,0.1993246092525451,453.45300000000015,3.975900000000001,117.85,3,7,0.0,8.810047736590684,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,9.52034512371626,0.0212573920710242,0.1876052314453322,9.592890347367902,-0.7755883425735757,0.01171937780721291,-0.7828426107772177
ONCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.676545435991248,0.0080002861488926,0.4100256641382663,361.2030000000001,2.8791,94.99,4,7,0.0,8.873557981911489,OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.3692884724959,0.0321953526069766,0.6490621421214131,9.661624190949633,-0.6927430365046519,-0.2390364779831468,-0.7880662090381438
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1Br,9.229890487266532,0.0414768757304539,0.2375876066578509,560.8550000000002,4.989100000000004,80.24000000000001,1,6,0.5,8.807207414865003,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.0279236803141482,0.4839275266830337,9.596193109686268,-0.15226253939236578,-0.2463399200251828,-0.7889856948212657
OCCCc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.60684362259517,0.0123703045647648,0.7301863249817082,359.2270000000001,3.455800000000002,70.93,2,5,0.0,8.959566480521259,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.440956388733865,0.0113143435052717,0.6490621421214131,9.7541731162893,-0.8341127661386949,0.0811241828602951,-0.7946066357680408
O=C(O)CCCCc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.52285527082189,0.0264702985014645,0.5733707186352277,401.26400000000007,4.328300000000003,88.0,2,5,0.0,8.783070331638038,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.347422264803685,0.0224798563664852,0.5170252665618643,9.583455041718128,-0.8245669939817954,0.05634545207336339,-0.80038471008009
