smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,year_min,year_max,n_sources
CN(C)CCN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,7.5,8.1249387366083,1,1997,1997,1
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.6,8.119186407719209,1,1996,1996,1
CCNc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1F,7.9,8.102372908709558,1,1999,1999,1
CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.0,8.096910013008056,1,2001,2001,1
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,8.0,8.096910013008056,1,1997,1997,1
Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,8.0,8.096910013008056,1,1997,1997,1
CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)cs1,8.0,8.096910013008056,1,2004,2004,1
COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,8.0,8.096910013008056,1,1997,1997,1
CN(C)CCN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.1,8.09151498112135,1,1998,1998,1
CN(C)CCCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.4,8.075720713938118,1,1997,1997,1
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,8.8,8.05551732784983,1,1997,1997,1
CN(C)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.8,8.05551732784983,1,1997,1997,1
CNc1cc2c(Nc3ccccc3)ncnc2cn1,9.0,8.045757490560675,2,1996,1998,1
COCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.0,8.045757490560675,1,2001,2001,1
O=C(/C=C/c1ccccc1)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.1,8.040958607678906,1,2001,2001,1
OCCN(CCO)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.2,8.036212172654444,1,1997,1997,1
Cc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,9.3,8.031517051446064,1,1997,1997,1
Nc1ccc2sc3c(Nc4ccccc4)ncnc3c2c1,9.4,8.0268721464003,1,1999,1999,1
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,9.6,8.017728766960431,1,1996,1996,1
CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cs1,10.0,8.0,1,2004,2004,1
COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,10.0,8.0,2,1995,1996,1
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,10.0,8.0,3,2004,2011,1
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,10.0,8.0,3,1995,1997,1
COc1cc2ncnc(NCc3ccccc3)c2cc1OC,10.0,8.0,1,1995,1995,1
COc1ccc2cncnc2c1,10.0,8.0,1,1996,1996,1
O=C(Nc1ccc(F)c(Cl)c1)c1ccc(OCCCN2CCOCC2)cc1O,10.4,7.982966660701219,1,2015,2015,1
CN(C)c1ccc2cncnc2c1,11.0,7.958607314841775,1,1996,1996,1
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2c1,11.0,7.958607314841775,1,1996,1996,1
Brc1cccc(Nc2ncnc3ccsc23)c1,11.0,7.958607314841775,1,1999,1999,1
Cc1cccc(Nc2ncnc3c2sc2ccc([N+](=O)[O-])cc23)c1,11.0,7.958607314841775,1,1999,1999,1
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,11.0,7.958607314841775,1,2003,2003,1
C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,118.275,7.943362653767824,2,2001,2001,1
COC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,12.0,7.920818753952375,1,1996,1996,1
CCNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,12.0,7.920818753952375,1,1996,1996,1
OCCN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,12.0,7.920818753952375,1,1997,1997,1
CCN(CC)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,12.0,7.920818753952375,1,2001,2001,1
OCC(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,12.0,7.920818753952375,1,1997,1997,1
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,12.1,7.91721462968355,3,2004,2015,1
O=[N+]([O-])c1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,12.3,7.910094888560602,1,1999,1999,1
CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,180.215,7.905114521826563,2,2008,2008,1
COc1cccc2c1sc1c(Nc3cccc(Br)c3)ncnc12,12.6,7.899629454882437,1,1999,1999,1
