smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,year_min,year_max
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,0.23,9.638272163982407,1,9.638272163982407,9.638272163982407
COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1CC(F)F)C(=O)NCC2,0.2425,9.632264426380507,2,9.510041520575164,9.75448733218585
OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.23995,9.619879255160281,2,9.619788758288394,9.61996975203217
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@@H]2CCOC2)CC1,0.24,9.619788758288394,1,9.619788758288394,9.619788758288394
CN1CCC(Oc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.24,9.619788758288394,3,8.958607314841775,9.67778070526608
CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCO4)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.275,9.610924374808178,2,9.397940008672037,9.823908740944319
COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,0.2455,9.609948503541013,3,7.823908740944319,9.619788758288394
OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,0.2455,9.609948503541013,1,9.609948503541013,9.609948503541013
Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,0.25,9.602059991327963,1,9.602059991327963,9.602059991327963
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,0.2512,9.599980364934842,3,8.292429823902063,9.602059991327963
COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,0.26,9.590228032229065,2,9.522878745280337,9.657577319177793
CCc1cc(Nc2ncc(Br)c(Nc3ccn4ncnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CC)CC2)CC1,0.385,9.586962598649587,2,9.173925197299173,10.0
C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,0.26,9.585026652029182,1,9.585026652029182,9.585026652029182
