activity_id,assay_chembl_id,assay_type,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
334584,CHEMBL679946,B,CHEMBL1127568,CHEMBL67424,,>,>,IC50,nM,20000.0,IC50,uM,20.0
334586,CHEMBL679946,B,CHEMBL1127568,CHEMBL68401,,>,>,IC50,nM,20000.0,IC50,uM,20.0
334917,CHEMBL677388,B,CHEMBL1135889,CHEMBL26641,6.70,=,=,IC50,nM,200.0,IC50,uM,0.2
334919,CHEMBL691873,F,CHEMBL1135889,CHEMBL26641,7.10,=,=,IC50,nM,80.0,IC50,uM,0.08
335194,CHEMBL677206,B,CHEMBL1129933,CHEMBL334439,5.16,=,=,IC50,nM,6900.0,IC50,uM,6.9
335757,CHEMBL679946,B,CHEMBL1127568,CHEMBL66612,,>,>,IC50,nM,20000.0,IC50,uM,20.0
335759,CHEMBL679946,B,CHEMBL1127568,CHEMBL66502,,>,>,IC50,nM,20000.0,IC50,uM,20.0
335761,CHEMBL679946,B,CHEMBL1127568,CHEMBL66101,4.70,=,=,IC50,nM,20000.0,IC50,uM,20.0
335845,CHEMBL679946,B,CHEMBL1127568,CHEMBL66329,,>,>,IC50,nM,20000.0,IC50,uM,20.0
335847,CHEMBL679946,B,CHEMBL1127568,CHEMBL67702,,>,>,IC50,nM,20000.0,IC50,uM,20.0
335849,CHEMBL679946,B,CHEMBL1127568,CHEMBL304310,,>,>,IC50,nM,20000.0,IC50,uM,20.0
336075,CHEMBL676067,B,CHEMBL1136802,CHEMBL59145,5.18,=,=,IC50,nM,6606.93,pIC50,,5.18
336077,CHEMBL676067,B,CHEMBL1136802,CHEMBL118109,4.72,=,=,IC50,nM,19054.61,pIC50,,4.72
336079,CHEMBL673947,B,CHEMBL1136802,CHEMBL343875,,=,=,IC50,nM,165958.69,pIC50,,3.78
336398,CHEMBL677206,B,CHEMBL1129933,CHEMBL334973,,>,>,IC50,nM,100000.0,IC50,uM,100.0
337074,CHEMBL679946,B,CHEMBL1127568,CHEMBL66008,,>,>,IC50,nM,20000.0,IC50,uM,20.0
337412,CHEMBL677388,B,CHEMBL1135889,CHEMBL279459,6.35,=,=,IC50,nM,450.0,IC50,uM,0.45
337414,CHEMBL691873,F,CHEMBL1135889,CHEMBL279459,6.40,=,=,IC50,nM,400.0,IC50,uM,0.4
337665,CHEMBL677206,B,CHEMBL1129933,CHEMBL135241,,>,>,IC50,nM,50000.0,IC50,uM,50.0
338292,CHEMBL679946,B,CHEMBL1127568,CHEMBL65858,,>,>,IC50,nM,20000.0,IC50,uM,20.0
338661,CHEMBL676067,B,CHEMBL1136802,CHEMBL55994,4.51,=,=,IC50,nM,30902.95,pIC50,,4.51
338663,CHEMBL676067,B,CHEMBL1136802,CHEMBL334032,4.64,=,=,IC50,nM,22908.68,pIC50,,4.64
338669,CHEMBL677388,B,CHEMBL1135889,CHEMBL1202473,6.52,=,=,IC50,nM,300.0,IC50,uM,0.3
338671,CHEMBL691873,F,CHEMBL1135889,CHEMBL1202473,6.70,=,=,IC50,nM,200.0,IC50,uM,0.2
338676,CHEMBL677388,B,CHEMBL1135889,CHEMBL25425,6.52,=,=,IC50,nM,300.0,IC50,uM,0.3
